Constituency,Party_2017,Party_2022,Party_Changed
Jhapa 5,CPN (UML),CPN (UML),0
Ilam 2,CPN (UML),CPN (UML),0
Khotang 1,CPN (UML),Maoist Centre,1
Chitwan 2,CPN (UML),RSP,1
Makwanpur 1,CPN (UML),RPP,1
Jhapa 2,CPN (UML),CPN (UML),0
Panchthar 1,CPN (UML),CPN (UML),0
Bajhang 1,CPN (UML),Unified Socialist,1
Morang 3,CPN (UML),Congress,1
Achham 1,CPN (UML),Unified Socialist,1
Dhading 1,CPN (UML),Unified Socialist,1
Myagdi 1,CPN (UML),Congress,1
Kaski 2,CPN (UML),CPN (UML),0
Rupandehi 2,CPN (UML),CPN (UML),0
Kapilvastu 2,CPN (UML),Congress,1
Rupandehi 1,CPN (UML),CPN (UML),0
Palpa 1,CPN (UML),CPN (UML),0
Baitadi 1,CPN (UML),CPN (UML),0
Surkhet 1,CPN (UML),Congress,1
Kanchanpur 3,CPN (UML),Congress,1
Sindhuli 1,CPN (UML),Congress,1
Darchula 1,CPN (UML),Congress,1
Morang 1,CPN (UML),Congress,1
Rupandehi 3,CPN (UML),RPP,1
Gulmi 2,CPN (UML),CPN (UML),0
Kavrepalanchok 2,CPN (UML),CPN (UML),0
Kathmandu 5,CPN (UML),Congress,1
Kaski 3,CPN (UML),CPN (UML),0
Sunsari 1,CPN (UML),PSP-Nepal,1
Kailali 2,CPN (UML),Nagrik Unmukti Party,1
Tanahun 2,CPN (UML),Congress,1
Kaski 1,CPN (UML),CPN (UML),0
Dhading 2,CPN (UML),Congress,1
Kathmandu 3,CPN (UML),Congress,1
Kathmandu 9,CPN (UML),CPN (UML),0
Morang 6,CPN (UML),Congress,1
Bajura 1,CPN (UML),Congress,1
Jhapa 4,CPN (UML),CPN (UML),0
Siraha 3,CPN (UML),CPN (UML),0
Bhaktapur 2,CPN (UML),Congress,1
Banke 3,CPN (UML),Congress,1
Kanchanpur 2,CPN (UML),Congress,1
Kailali 5,CPN (UML),Congress,1
