Constituency_2017,Party_2017,key,Constituency_2022,Party_2022
Jhapa 5,CPN (UML) (93),jhapa 5,Jhapa 5,CPN (UML)
Ilam 2,CPN (UML) (93),ilam 2,Ilam 2,CPN (UML)
Khotang 1,CPN (UML) (93),khotang 1,Khotang 1,Maoist Centre
Chitwan 2,CPN (UML) (93),chitwan 2,Chitwan 2,RSP
Makwanpur 1,CPN (UML) (93),makwanpur 1,Makwanpur 1,RPP
Jhapa 2,CPN (UML) (93),jhapa 2,Jhapa 2,CPN (UML)
Panchthar 1,CPN (UML) (93),panchthar 1,Panchthar 1,CPN (UML)
Bajhang 1,CPN (UML) (93),bajhang 1,Bajhang 1,Unified Socialist
Morang 3,CPN (UML) (93),morang 3,Morang 3,Congress
Achham 1,CPN (UML) (93),achham 1,Achham 1,Unified Socialist
Dhading 1,CPN (UML) (93),dhading 1,Dhading 1,Unified Socialist
Myagdi 1,CPN (UML) (93),myagdi 1,Myagdi 1,Congress
Kaski 2,CPN (UML) (93),kaski 2,Kaski 2,CPN (UML)
Rupandehi 2,CPN (UML) (93),rupandehi 2,Rupandehi 2,CPN (UML)
Kapilvastu 2,CPN (UML) (93),kapilvastu 2,Kapilvastu 2,Congress
Rupandehi 1,CPN (UML) (93),rupandehi 1,Rupandehi 1,CPN (UML)
Palpa 1,CPN (UML) (93),palpa 1,Palpa 1,CPN (UML)
Baitadi 1,CPN (UML) (93),baitadi 1,Baitadi 1,CPN (UML)
Surkhet 1,CPN (UML) (93),surkhet 1,Surkhet 1,Congress
Kanchanpur 3,CPN (UML) (93),kanchanpur 3,Kanchanpur 3,Congress
Sindhuli 1,CPN (UML) (93),sindhuli 1,Sindhuli 1,Congress
Darchula 1,CPN (UML) (93),darchula 1,Darchula 1,Congress
Morang 1,CPN (UML) (93),morang 1,Morang 1,Congress
Rupandehi 3,CPN (UML) (93),rupandehi 3,Rupandehi 3,RPP
Gulmi 2,CPN (UML) (93),gulmi 2,Gulmi 2,CPN (UML)
Kavrepalanchok 2,CPN (UML) (93),kavrepalanchok 2,Kavrepalanchok 2,CPN (UML)
Nawalparasi (Bardaghat Susta West) 1,CPN (UML) (93),parasi 1,Parasi 1,Congress
Kathmandu 5,CPN (UML) (93),kathmandu 5,Kathmandu 5,Congress
Kaski 3,CPN (UML) (93),kaski 3,Kaski 3,CPN (UML)
Sunsari 1,CPN (UML) (93),sunsari 1,Sunsari 1,PSP-Nepal
Kailali 2,CPN (UML) (93),kailali 2,Kailali 2,Nagrik Unmukti Party
Tanahun 2,CPN (UML) (93),tanahun 2,Tanahun 2,Congress
Kaski 1,CPN (UML) (93),kaski 1,Kaski 1,CPN (UML)
Dhading 2,CPN (UML) (93),dhading 2,Dhading 2,Congress
