Constituency_2017,Constituency_2022,Party_2017,Party_2022,Party_2022_grouped,Predicted_Party,Win_Prob,Seat_Type
Jhapa 5,Jhapa 5,CPN (UML) (93),CPN (UML),CPN (UML),Congress,0.5312093260825195,Toss-up
Kailali 5,Kailali 5,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Syangja 2,Syangja 2,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Parbat 1,Parbat 1,CPN (UML) (93),CPN (UML),CPN (UML),Congress,0.5312093260825195,Toss-up
Lalitpur 1,Lalitpur 1,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Surkhet 2,Surkhet 2,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Syangja 1,Syangja 1,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Nuwakot 2,Nuwakot 2,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Kanchanpur 2,Kanchanpur 2,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Kathmandu 3,Kathmandu 3,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Banke 3,Banke 3,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Bhaktapur 2,Bhaktapur 2,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Siraha 3,Siraha 3,CPN (UML) (93),CPN (UML),CPN (UML),Congress,0.5312093260825195,Toss-up
Jhapa 4,Jhapa 4,CPN (UML) (93),CPN (UML),CPN (UML),Congress,0.5312093260825195,Toss-up
Bajura 1,Bajura 1,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Morang 6,Morang 6,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Dolakha 1,Dolakha 1,CPN (UML) (93),Maoist Centre,Maoist Centre,Congress,0.5312093260825195,Toss-up
Manang 1,Manang 1,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Gulmi 1,Gulmi 1,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
Mustang 1,Mustang 1,CPN (UML) (93),Congress,Congress,Congress,0.5312093260825195,Toss-up
