Constituency_2017,Constituency_2022,Party_2017,Party_2022,Party_2022_grouped,Predicted_Party,Win_Prob,Seat_Type
Rautahat 2,Rautahat 2,Congress,Independent,Independent,Other,0.2321857502356625,Toss-up
Humla 1,Humla 1,Independent (1),Maoist Centre,Maoist Centre,Other,0.24142566623142786,Toss-up
Rupandehi 5,Rupandehi 5,Nepali Congress (62),CPN (UML),CPN (UML),CPN (UML),0.24339269688666598,Toss-up
Kapilvastu 3,Kapilvastu 3,Nepali Congress (62),CPN (UML),CPN (UML),CPN (UML),0.24339269688666598,Toss-up
Sarlahi 4,Sarlahi 4,Nepali Congress (62),Independent,Independent,CPN (UML),0.24339269688666598,Toss-up
Kathmandu 6,Kathmandu 6,Nepali Congress (62),RSP,RSP,CPN (UML),0.24339269688666598,Toss-up
Rautahat 4,Rautahat 4,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Nawalparasi (Bardaghat Susta West) 2,Parasi 2,Nepali Congress (62),RPP,RPP,CPN (UML),0.24339269688666598,Toss-up
Kathmandu 4,Kathmandu 4,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Sunsari 4,Sunsari 4,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Morang 2,Morang 2,Nepali Congress (62),CPN (UML),CPN (UML),CPN (UML),0.24339269688666598,Toss-up
Rasuwa 1,Rasuwa 1,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Udayapur 1,Udayapur 1,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Kathmandu 1,Kathmandu 1,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Rupandehi 4,Rupandehi 4,Nepali Congress (62),Loktantrik Samajwadi,Loktantrik Samajwadi,CPN (UML),0.24339269688666598,Toss-up
Kathmandu 10,Kathmandu 10,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Bardiya 1,Bardiya 1,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Nawalparasi (Bardaghat Susta East) 1,Nawalpur 1,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
Sunsari 2,Sunsari 2,Nepali Congress (62),CPN (UML),CPN (UML),CPN (UML),0.24339269688666598,Toss-up
Saptari 4,Saptari 4,Nepali Congress (62),Congress,Congress,CPN (UML),0.24339269688666598,Toss-up
