Constituency,Member,Party
Achham 1,Sher Bahadur Kunwor,Unified Socialist
Achham 2,Pushpa Bahadur Shah,Congress
Arghakhanchi 1,Top Bahadur Rayamajhi,CPN (UML)
Baglung 1,Chitra Bahadur K.C.,Janamorcha
Baglung 2,Devendra Paudel,Maoist Centre
Baitadi 1,Damodar Bhandari,CPN (UML)
Bajhang 1,Bhanu Bhakta Joshi,Unified Socialist
Bajura 1,Badri Prasad Pandey,Congress
Banke 1,Surya Prasad Dhakal,CPN (UML)
Banke 2,Dhawal Shamsher Rana,RPP
Banke 3,Kishore Singh Rathore,Congress
Bara 1,Achyut Prasad Mainali,CPN (UML)
Bara 2,Ram Sahaya Yadav,PSP-Nepal
Bara 3,Jwala Kumari Sah,CPN (UML)
Bara 4,Krishna Kumar Shrestha,Unified Socialist
Bardiya 1,Sanjay Kumar Gautam,Congress
Bardiya 2,Lalbir Chaudhary,Independent
Bhaktapur 1,Prem Suwal,NMKP
Bhaktapur 2,Durlabh Thapa Chhetri,Congress
Bhojpur 1,Sudan Kirati,Maoist Centre
Chitwan 1,Hari Dhakal,RSP
Chitwan 2,Rabi Lamichhane,RSP
Chitwan 3,Bikram Pandey,RPP
Dadeldhura 1,Sher Bahadur Deuba,Congress
Dailekh 1,Amar Bahadur Thapa,Unified Socialist
Dailekh 2,Dikpal Kumar Shahi,Congress
Dang 1,Metmani Chaudhary,Unified Socialist
Dang 2,Rekha Sharma,Maoist Centre
Dang 3,Deepak Giri,Congress
Darchula 1,Dilendra Prasad Badu,Congress
Dhading 1,Rajendra Prasad Pandey,Unified Socialist
Dhading 2,Ram Nath Adhikari,Congress
Dhankuta 1,Rajendra Kumar Rai,CPN (UML)
Dhanusha 1,Dipak Karki,PSP-Nepal
Dhanusha 2,Ram Krishna Yadav,Congress
Dhanusha 3,Julie Kumari Mahato,CPN (UML)
Dhanusha 4,Raghubir Mahaseth,CPN (UML)
Dolakha 1,Ganga Karki,Maoist Centre
Dolpa 1,Dhan Bahadur Buda,Unified Socialist
Doti 1,Prem Bahadur Ale,Unified Socialist
Gorkha 1,Rajendra Bajgain,Congress
Gorkha 2,Pushpa Kamal Dahal,Maoist Centre
Gulmi 1,Chandra Kant Bhandari,Congress
Gulmi 2,Gokarna Raj Bista,CPN (UML)
Humla 1,Tshering Damdul Lama,Maoist Centre
Ilam 1,Mahesh Basnet,CPN (UML)
Ilam 2,Subas Chandra Nemwang,CPN (UML)
Jajarkot 1,Shakti Bahadur Basnet,Maoist Centre
Jhapa 1,Bishwa Prakash Sharma,Congress
Jhapa 2,Dev Raj Ghimire,CPN (UML)
Jhapa 3,Rajendra Lingden,RPP
Jhapa 4,Lal Prasad Sawa Limbu,CPN (UML)
Jhapa 5,KP Sharma Oli,CPN (UML)
Jumla 1,Gyan Bahadur Shahi,RPP
Kailali 1,Ranjeeta Shrestha,Nagrik Unmukti Party
